ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,AY,SEM,ALL_TI_YMD,DGHT_CRSE_SC_NM,ORD_SC_NM,DDDEP_NM,GRADE,CLRM_NM,CLASS_NM,PERIO,ITRT_CNTNT,LOAD_DTM
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,3,3,7,수학Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,1,일본어Ⅰ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,2,생활과 과학,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,3,한국지리,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,4,수학Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,5,사회·문화,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,6,독서,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,4,4,7,심화 국어,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,1,독서,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,2,운동과 건강,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,3,수학Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,4,생활과 과학,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,5,한국지리,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,6,영어Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,5,5,7,영어권 문화,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,1,독서,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,2,기하,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,3,영어Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,4,영어Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,5,음악 연주,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,6,수학Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,6,6,7,물리학Ⅰ_물리학IA,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,1,수학Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,2,진로와 직업,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,3,독서,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,4,일본어Ⅰ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,5,미술 창작,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,6,영어Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,7,7,7,화학Ⅰ_화학IA,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,1,사회문제 탐구,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,2,영어Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,3,독서,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,4,수학Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,5,기하,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,6,진로활동,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,8,8,7,생명과학Ⅰ_생명과학IA,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,공유클래스1,,3,윤리와 사상,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,2,공유클래스2,,7,지구과학Ⅰ_지구과학IA,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,1,1,1,영미 문학 읽기,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,1,1,2,정치와 법,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,1,1,3,영어 독해와 작문,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,1,1,4,확률과 통계,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,1,1,5,고전 읽기,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,1,1,7,일본어Ⅱ,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,2,2,1,[보강]화법과 작문,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,2,2,2,여행지리,20250824
B10,서울특별시교육청,7010117,강동고등학교,2025,2,20250818,주간,일반계,일반학과,3,2,2,3,영미 문학 읽기,20250824
