시도교육청,교육지원청,지역,정보공시학교코드,학교명,학교급코드,설립구분,주야간,제외여부,제외사유,1학년학급수,1학년학생수,1학년학급당학생수,2학년학급수,2학년학생수,2학년학급당학생수,3학년학급수,3학년학생수,3학년학급당학생수,특수학급학급수,특수학급학생수,특수학급학급당학생수,순회학급학급수,순회학급학생수,순회학급학급당학생수,학급수계,학생수계,학급당학생수계,교사수계,수업교원1인당학생수,학교급,담당자,학교특성,특성화고 구분,특성화고 담당자
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090000833,수원하이텍고등학교,4,공립,주간,N,,8,146,18.3,8,137,17.1,8,147,18.4,0,0,0,0,0,0,24,430,17.9,54,8,고등,송훈재,특수목적고등학교,,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002429,연무중학교,3,공립,주간,N,,10,328,32.8,12,394,32.8,11,359,32.6,1,4,4,0,0,0,34,1085,31.9,60,18.1,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090000728,영덕고등학교,4,공립,주간,N,,12,296,24.7,12,321,26.8,12,338,28.2,0,0,0,0,0,0,36,955,26.5,69,13.8,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002430,영덕중학교,3,공립,주간,N,,10,312,31.2,10,305,30.5,10,304,30.4,1,3,3,1,3,3,32,927,29,55,16.9,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005153,영동중학교,3,공립,주간,N,,12,396,33,5,157,31.4,5,141,28.2,0,0,0,0,0,0,22,694,31.5,39,17.8,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002433,영일중학교,3,공립,주간,N,,7,214,30.6,6,177,29.5,8,233,29.1,0,0,0,0,0,0,21,624,29.7,38,16.4,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002434,영통중학교,3,공립,주간,N,,3,57,19,3,69,23,4,89,22.3,1,3,3,0,0,0,11,218,19.8,20,10.9,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002435,원천중학교,3,공립,주간,N,,2,37,18.5,2,31,15.5,2,48,24,2,9,4.5,0,0,0,8,125,15.6,17,7.4,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090006813,이의고등학교,4,공립,주간,N,,12,299,24.9,12,324,27,12,334,27.8,1,3,3,0,0,0,37,960,25.9,70,13.7,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005881,이의중학교,3,공립,주간,N,,6,161,26.8,5,136,27.2,7,189,27,1,5,5,0,0,0,19,491,25.8,33,14.9,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005477,잠원중학교,3,공립,주간,N,,11,338,30.7,12,387,32.3,12,384,32,1,5,5,0,0,0,36,1114,30.9,62,18,중등,송훈재,,,
